team_id,team_name,score
0aefbe81-3fab-49fa-af59-d86bdb34c5e1,yuh,213845.27
97cb0d22-3873-4057-a856-28edf35c3387,Negative Eevee,211239.51
60044fb4-0584-4d19-ba15-6f43d8e6f36a,Vibing,209840.98
b2342095-b087-4597-9da1-564208152129,Seven Deuce Capital,208281.23
98265c6c-2e7e-414c-b8e3-806564f475f3,DU Trading,208205.91
961bd3a8-b0b8-4221-ac82-fbab54a69dea,DU Market Makers,207535.79
c0a1a5f3-c1ad-48f3-b2c3-e8fcff0fb115,The Big Posteriors,207376.04
8377552e-afc4-4942-ad13-d7aee3887924,DU Quant,207309.91
49da938e-7122-469c-acde-9b56650ad9d7,Une Baguette Fromage,207308.23
fe04cade-2286-46b6-9ebf-8a19c578d5a5,DU Trading Desk,207285.79
fd9b5670-9b27-4831-b70c-264aafcc4795,optieverhandelaaren,206580.76
638b697e-5458-41a7-b5f3-440073269d90,Flowstate,206189.98
a4a35a38-9701-486b-9465-374a10eeda4f,Prosperity Crushers,205792.41
12b410cb-6c64-44c7-8103-49032bc62316,broke like joc,205728.04
eedee84c-0f4f-4a93-9def-dc4cf0e8771a,Hexatech,205618.79
bb8cb7ea-4969-43c4-8cd7-1ff15d7fdef3,prosperity 3 man,205585.79
6fc9deef-c856-40e8-b341-ceea401819b1,DU Market Making,205534.23
cce69e60-23bf-44f1-ab6d-37789c3925d2,glou,205366.66
0bd3dfee-7843-44b3-be74-326ae5e0633a,ShrimpTrading,205347.41
61d37921-5bf6-4da6-ad57-a7ec75771f66,72 Sigma,205283.88
6a1533a6-9824-48e7-beca-b5ebb8bb6bbe,63-bit integers,204922.51
7438253b-4df8-497e-9fce-4a7dc051d69a,Exodia,204850.79
48df578f-2184-4c37-b8b8-6f9254836502,DannyNegru,204679.04
1f004b96-bd10-4ef8-8993-474437a95392,nema problema ovde,204395.79
b822ecfd-44d8-4530-9820-b52583989ab4,porridge,204125.79
98fe13e2-9aff-49d3-885b-80a52f24eaef,Arcadia 2,203995.1
bcf26663-7d80-49ef-b2c1-a5ae2d8ae27d,Open for Quant Jobs,203860.54
0df1d144-a881-4d2a-bf01-41448740be8e,BASTION,203418.52
e8727023-5a62-4423-93e6-96bae59aeaec,John Slope,203243.13
2c23727c-71a5-43ee-890f-e1bf346075bc,gacrux,203099.41
26c9b6eb-92ee-425e-81d7-66462b179ac8,final position 10 at 15,203073.23
bb0778ef-78fd-45d1-8b50-49fc1c52c2ec,Algoholicz,202520.71
999ccfcb-be2c-47e4-8953-f15f2d2a0f7b,BlackSouls,202238.98
e71367c0-7f90-44d6-abdd-c87bd48ab46d,fenn,202035.54
7e892662-50de-4e97-adf1-37f3aae519d7,CCC_v2,201835.23
b16cc441-e0d0-4266-8942-82fcf0323125,Jaded,201738.04
0b4fea6a-6afe-4f2c-b414-7e9a8a804555,CarbonBlack,200979.79
84073729-4067-4665-82e1-60100dbbce57,Infinity Stones,200939.79
0c567950-e613-4e19-b41e-819b8581261a,cRashCrafters,200387.79
ba0b4fb1-2407-4ce5-a327-59847797cd6c,Gorlock,200159.18
ca88885a-f581-4177-95f5-bd2c464ad42b,Myname,200135.79
08a608d3-586b-402e-b7d3-63abf0059e4b,second_best,200038.51
8b5b33d2-1ee9-46e5-9b98-00702dbcfc94,Space Monkeys,199704.79
a402be06-de21-4f4c-b6ff-271885059191,Cosmic Latte,199703.79
8f350a9b-12ee-4ac8-8aa3-eb1a3cf2dbf5,Alien,199535.21
4d69bb49-5034-46c2-b835-77d46b232234,Euporia,199428.79
172c02aa-f5b0-4279-92ea-103cad4e4bec,drunken noodles,199274.1
0fdee247-008d-4bb7-94b3-5b28e678c3ab,abacus,199213.41
b0839f9a-69a5-4fd0-bffc-3efbe489c775,TUMorrow Traders,198940.1
79fc6b56-f746-4f19-bb7b-46a092eeaec6,Beauty Hunters,198746.38
eaf65eb8-f421-4031-a21c-bda21196aca8,DCJ9,198672.01
3d7e62ba-0aa9-43c0-9ded-7464ce4856e8,Poverty,198669.6
4c21144f-275b-4b64-afe6-14af49f269ee,TatooineTraders,198512.57
68438bdd-9f3b-4806-9e39-f08de6213a7a,Meiji Restoration,198376.41
42cf8fe2-318b-4aa2-ac8a-194e441f77ba,ICT Mogged,198372.19
f0080368-d4b2-48ea-b9a6-8d119d578991,Yin,198364.99
c08eee9e-bed1-4f6b-b365-e75fbefe7426,WanderingTraders,198175.21
cf3b107a-3d24-4c7e-a94b-1d989af708d6,HATSK,198034.79
84514fe7-5f13-495c-95f8-34e2608aab17,BelmonteHunters,197912.18
620586ed-e887-4f84-aa80-a074056c8a1c,Caustic Orbifold,197899.01
94a05fa5-08f7-4cac-80bc-1fa851be7b07,kumon,197767.38
e45e3ea5-986d-413c-8689-7d136dcd091e,CUATS 2,197700.1
db6dbd80-d1da-4d9a-9d1c-f11b328699c2,1112233,197526.35
302e909b-a7dd-4c03-b2fe-eb46fbb76715,test1,197398.16
a958e276-865a-44c9-b64c-64eeb898f830,Solarflare,197109.54
58b19ae2-85ee-4bb9-ace3-a962a209aec9,Vega,196691.18
59f71a14-5614-4eb6-a2b4-64ea519a0841,Uvic lions,196399.51
12106430-474b-4e62-ad84-2d8bfcf99ff4,unknownpophaha,196200.18
6d1a1d97-1a17-4068-98c6-201a4163241d,Waterloo Courtsiders,196175.79
c58c269e-2d11-481e-871c-84930d1f3bb8,Alphito,196167.3
2ccdf9a5-626a-4e10-bcfb-82549b166b41,AgentLab,196134.79
d0c2284a-ae63-4ff6-bf47-e47479ebb813,Keble Kwants,196085.54
bdc912ee-fc6b-4b4f-b5c7-e378d21878cb,The Silence of Lambdas,195922.3
3584d8f5-d9be-4be3-b454-ac98e2dde3ef,Twisted Minds,195575.26
f4f17cc3-0ad4-4380-8622-c797dd7e07a8,Jane Avenue,195470.66
05e2d842-58d4-47ce-92c2-f2520859796d,Margin Call Mafia,195425.98
46e8fd44-20b7-40e1-a879-370a7e809bbb,PMQuants,195275.63
41324d5b-392c-4ac4-bc91-3ef7a3a46a4c,Secret Sauce,195186.54
b10f149b-024f-47b2-afc2-0cd1a8ba315b,dih,194946.55
fdca54a4-5dd6-4e08-be3f-f660f2083748,RealCityScape,194768.91
af1a7817-29b2-4f15-a393-9aacaa46763f,bear,194523.85
