product,day,feature,corr_fwd1,corr_fwd5
ASH_COATED_OSMIUM,-2,ret1,-0.505536,-0.466529
ASH_COATED_OSMIUM,-2,obi1,0.595748,0.555442
ASH_COATED_OSMIUM,-2,micro_dev,0.513351,0.476786
ASH_COATED_OSMIUM,-2,dev20,-0.597586,-0.562325
ASH_COATED_OSMIUM,-1,ret1,-0.486793,-0.449433
ASH_COATED_OSMIUM,-1,obi1,0.591706,0.547961
ASH_COATED_OSMIUM,-1,micro_dev,0.504038,0.466199
ASH_COATED_OSMIUM,-1,dev20,-0.596477,-0.563284
ASH_COATED_OSMIUM,0,ret1,-0.491195,-0.455234
ASH_COATED_OSMIUM,0,obi1,0.573293,0.540587
ASH_COATED_OSMIUM,0,micro_dev,0.481491,0.455703
ASH_COATED_OSMIUM,0,dev20,-0.599333,-0.559441
INTARIAN_PEPPER_ROOT,-2,ret1,-0.492881,-0.501901
INTARIAN_PEPPER_ROOT,-2,obi1,0.55535,0.56318
INTARIAN_PEPPER_ROOT,-2,micro_dev,0.453737,0.461847
INTARIAN_PEPPER_ROOT,-2,dev20,-0.683452,-0.690206
INTARIAN_PEPPER_ROOT,-2,pepper_resid,-0.702041,-0.708085
INTARIAN_PEPPER_ROOT,-1,ret1,-0.491105,-0.499166
INTARIAN_PEPPER_ROOT,-1,obi1,0.568931,0.556717
INTARIAN_PEPPER_ROOT,-1,micro_dev,0.456893,0.444447
INTARIAN_PEPPER_ROOT,-1,dev20,-0.686409,-0.696106
INTARIAN_PEPPER_ROOT,-1,pepper_resid,-0.704843,-0.712486
INTARIAN_PEPPER_ROOT,0,ret1,-0.482113,-0.503765
INTARIAN_PEPPER_ROOT,0,obi1,0.56743,0.562431
INTARIAN_PEPPER_ROOT,0,micro_dev,0.459828,0.460498
INTARIAN_PEPPER_ROOT,0,dev20,-0.682115,-0.692787
INTARIAN_PEPPER_ROOT,0,pepper_resid,-0.701823,-0.710905
