timestamp;buyer;seller;symbol;currency;price;quantity
1400;;;VELVETFRUIT_EXTRACT;SEASHELLS;5269;50
1400;;;VEV_4000;SEASHELLS;1276;50
1400;;;VEV_4500;SEASHELLS;774;50
1400;;;VEV_5000;SEASHELLS;273;50
1400;;;VEV_5100;SEASHELLS;182;50
1400;;;VEV_5200;SEASHELLS;106;50
1400;;;VEV_5300;SEASHELLS;53;50
1400;;;VEV_5400;SEASHELLS;19;50
1400;;;VEV_5500;SEASHELLS;8;50
1400;;;VEV_6000;SEASHELLS;1;50
1400;;;VEV_6500;SEASHELLS;1;50
1800;;;VELVETFRUIT_EXTRACT;SEASHELLS;5268;50
1800;;;VEV_4000;SEASHELLS;1260;50
1800;;;VEV_4500;SEASHELLS;762;50
1800;;;VEV_5000;SEASHELLS;270;50
1800;;;VEV_5100;SEASHELLS;181;50
1800;;;VEV_5200;SEASHELLS;105;50
1800;;;VEV_5300;SEASHELLS;52;50
1800;;;VEV_5400;SEASHELLS;18;50
1800;;;VEV_5500;SEASHELLS;8;50
1800;;;VEV_6000;SEASHELLS;0;50
1800;;;VEV_6500;SEASHELLS;0;50
4500;;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;50
4500;;;VEV_4000;SEASHELLS;1273;50
4500;;;VEV_4500;SEASHELLS;772;50
4500;;;VEV_5000;SEASHELLS;270;50
4500;;;VEV_5100;SEASHELLS;179;50
4500;;;VEV_5200;SEASHELLS;105;50
4500;;;VEV_5300;SEASHELLS;53;50
4500;;;VEV_5400;SEASHELLS;18;50
4500;;;VEV_5500;SEASHELLS;8;50
4500;;;VEV_6000;SEASHELLS;1;50
4500;;;VEV_6500;SEASHELLS;1;50
10100;;;VELVETFRUIT_EXTRACT;SEASHELLS;5264;50
10100;;;VEV_4000;SEASHELLS;1272;50
10100;;;VEV_4500;SEASHELLS;765;50
10100;;;VEV_5000;SEASHELLS;269;50
10100;;;VEV_5100;SEASHELLS;178;50
10100;;;VEV_5200;SEASHELLS;104;50
10100;;;VEV_5300;SEASHELLS;51;50
10100;;;VEV_5400;SEASHELLS;18;50
10100;;;VEV_5500;SEASHELLS;8;50
10100;;;VEV_6000;SEASHELLS;1;50
10100;;;VEV_6500;SEASHELLS;1;50
12900;;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;50
12900;;;VEV_4000;SEASHELLS;1258;50
12900;;;VEV_4500;SEASHELLS;764;50
12900;;;VEV_5000;SEASHELLS;268;50
12900;;;VEV_5100;SEASHELLS;178;50
12900;;;VEV_5200;SEASHELLS;106;50
12900;;;VEV_5300;SEASHELLS;51;50
12900;;;VEV_5400;SEASHELLS;18;50
12900;;;VEV_5500;SEASHELLS;8;50
12900;;;VEV_6000;SEASHELLS;0;50
12900;;;VEV_6500;SEASHELLS;0;50
13000;;;VELVETFRUIT_EXTRACT;SEASHELLS;5268;50
13000;;;VEV_4000;SEASHELLS;1276;50
13000;;;VEV_4500;SEASHELLS;769;50
13000;;;VEV_5000;SEASHELLS;272;50
